question,answer_llm,answer_orig,document
"If I just leave my code in Codespaces and don’t commit it, is it still saved somewhere or can I lose it?","Yes — uncommitted code is still saved inside the Codespaces Linux VM.

But you can still lose it if the Codespace is stopped, deleted, or recreated, so you should commit your work regularly to keep it safe in your GitHub repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Does Codespaces keep my changes on the VM even if I never push them to GitHub?,"Yes. Code saved in Codespaces is stored inside the Codespaces Linux VM, even if you never push it to GitHub.

But you should still commit regularly, because uncommitted changes can be lost if the codespace is deleted or recreated.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
What happens to uncommitted work in Codespaces if the VM stops or the workspace gets deleted later?,"Uncommitted changes may survive a stop/start, but if the VM stops and especially if you delete or recreate the workspace later, that uncommitted work can be lost. To be safe, commit and push regularly so your work is stored in your GitHub repository.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"Should I commit my code often in Codespaces, or is saving inside the Linux VM enough?","You should **commit your work regularly**.

Saving inside the Codespaces Linux VM is **not enough** if you want to keep it safely long-term. Uncommitted changes survive a stop/start, but they can be lost if the codespace is deleted, recreated, or rebuilt.

So the safe practice is:

- **Save in the VM while working**
- **Commit and push often** to your GitHub repo

","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"Is my work safe in Codespaces without commits, or do I need to put it in my GitHub repo to avoid losing it?","Your work is saved inside the Codespaces Linux VM even if you don’t commit it, but it’s **not fully safe** there.

You should **commit and push regularly** to your GitHub repo, because Codespaces can stop, disconnect, be rebuilt, or be deleted later, and uncommitted work can be lost.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Why does WSL2 say my model needs more memory than is available even though my Windows machine has enough RAM?,"Because WSL2 does **not automatically use all the RAM in your Windows machine**. It only has the amount allocated to WSL2, which in your case is **Y.Y GiB**, so the model can still exceed that limit even if Windows has enough total memory.

To fix it, increase WSL2’s memory limit by creating a `.wslconfig` file in:

`C:\Users\YourUsername\.wslconfig`

with something like:

```ini
[wsl2]
memory=8GB
```

Then run:

```bash
wsl --shutdown
```

and restart WSL. You can check the result with `free` inside WSL.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How do I give WSL2 more RAM on Windows so an Ollama model can load?,"Create a `.wslconfig` file in your Windows user profile directory:

`C:\Users\YourUsername\.wslconfig`

Put this in it:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

After that, you can check the available memory inside WSL with:

```bash
free
```","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Where exactly should I put the .wslconfig file to change WSL2 memory limits?,"Put it in your Windows user profile directory:

`C:\Users\YourUsername\.wslconfig`

So the file should be at the root of your user folder, not inside WSL.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
What should I add inside .wslconfig to increase WSL2 memory allocation?,"Add this inside `.wslconfig`:

```ini
[wsl2]
memory=8GB
```

Then run:

```bash
wsl --shutdown
```","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"After changing WSL2 memory settings, do I need to restart anything and how can I check if it worked?","Yes — after changing the WSL2 memory settings, restart WSL with:

```bash
wsl --shutdown
```

Then open WSL again and check whether it worked by running:

```bash
free
```

That will show the available memory inside WSL.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"My GitHub Codespace keeps hanging on ""Finishing up"" and never connects — what can I try first?","Go to **github.com/codespaces**, **stop** the codespace, and **start it again**.

If it still hangs on **“Finishing up”**, try opening it in the **browser** instead of desktop VS Code, or use a different browser like **Edge, Chrome, or Brave**.

As a last resort, **delete the codespace and create a new one**.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If my Codespace won’t open in VS Code desktop, is there another way to get it working?","Yes. If VS Code desktop won’t open your Codespace, try opening it in the **browser** instead, or use a different browser like **Edge, Chrome, or Brave**. If that still doesn’t work, stop and start the codespace from [github.com/codespaces](https://github.com/codespaces), and as a last resort delete it and create a new one.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Why did my setup disappear after a rebuild or new Codespace, and is that normal?","Yes — that’s normal.

A **rebuild** or a **brand-new Codespace** starts from a clean image, so anything installed **outside your project** can disappear. That’s why your setup may seem to vanish.

What usually persists:
- The files in your repo under `/workspaces`
- Your **uncommitted code** if you just stop/start the same codespace

What may be lost:
- System-wide or global installs
- Anything not committed if you **delete/recreate** the codespace

What to do:
- Reinstall quickly with `uv` if needed
- **Commit and push often** so your work is محفوظ even if the codespace is recreated

So yes, seeing setup disappear after a rebuild or new Codespace is expected behavior.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Do files in /workspaces survive stop/start, or can they still get wiped somehow?","Yes — files in `/workspaces` persist across a Codespaces stop/start.

What can still wipe them:
- a **rebuild**
- a **brand-new codespace**
- **deleting/recreating** the codespace

Also, **uncommitted changes** survive a stop/start, but can be lost if the codespace is deleted or recreated.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
What should I do to avoid losing work when Codespaces gets flaky or I have to recreate it?,"Commit and push your work regularly.

Codespaces can stop, disconnect, or be deleted, and uncommitted changes may be lost if you have to recreate the codespace.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Can I swap OpenAI for another LLM provider in the RAG module, or is the course locked to OpenAI only?","No — the course is **not locked to OpenAI**.

In the **RAG module**, you can use other LLM providers such as **Gemini, Groq, OpenRouter, Azure OpenAI, local models, or others**. If the provider exposes an **OpenAI-compatible endpoint**, you usually only need to change the `base_url`, API key, and model name.

So yes, you can swap OpenAI for another provider in the RAG module.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"If OpenAI is blocked in my country, what are the easiest alternatives I can use with the course code?","Yes — if OpenAI is blocked, the easiest alternatives that work with the course code are:

- **Hosted OpenAI-compatible providers** like **Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral**
  - Usually you only need to change:
    - `base_url`
    - API key
    - model name

- **Local models** using **Ollama**, **vLLM**, or **LM Studio**
  - These don’t require an external API, so regional blocks don’t matter
  - Many expose an **OpenAI-compatible endpoint**, so the course code often only needs a `base_url` change

- **Hugging Face hosted open models**
  - For example **Qwen** or **Llama**

- **A VPN**
  - If the provider is only blocked at the network level

So the simplest options are usually **Groq/OpenRouter/Gemini** if you want hosted services, or **Ollama** if you want something local.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"Do providers like Groq, OpenRouter, DeepSeek, or Gemini work without rewriting everything from scratch?","Yes — usually you do **not** need to rewrite everything from scratch.

Kestra is provider-agnostic: you can switch providers by changing the **provider block** in your flow, while keeping the rest the same. It supports OpenAI, Gemini, Anthropic, xAI/Grok, and any **OpenAI-compatible** provider.

For providers like **Groq**, **DeepSeek**, or other OpenAI-compatible APIs, you can often just point the OpenAI client/plugin at the provider’s **base URL** instead of rewriting the workflow.

Two caveats:
- **OpenRouter** may need a lower `max_output_tokens` setting to avoid errors.
- If you use **provider-specific features** or **tool calling**, you may need some code adjustments because response formats and schemas can differ.

So the short answer is: **mostly yes, with small configuration changes; not a full rewrite.**","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
Can I run the model locally with something like Ollama or vLLM and still follow the course labs?,"Yes. You can run the model locally with Ollama, vLLM, or similar tools and still follow the course labs.

The course isn’t tied to OpenAI. Most locally served models expose an OpenAI-compatible endpoint, so you usually just need to change the `base_url` in the course code, along with the model name if needed.

If you want, I can also help you map a specific local setup to the course notebooks.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
"If I use my own hosted model or a GPU rental, do I need an OpenAI-style endpoint for the examples to work?","No. If your hosted model or GPU rental exposes an OpenAI-compatible endpoint, the course examples should work with just a `base_url` change, plus the API key and model name.

If it’s a locally served model, that also works, and many tools like Ollama or vLLM can expose an OpenAI-compatible endpoint.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
How can I stop getting 429 rate limit errors when my notebook loops over lots of docs?,"To avoid 429 rate limit errors, focus on **making fewer API calls and slowing them down**:

- **Enable retries with backoff**:
  ```python
  from openai import OpenAI
  client = OpenAI(max_retries=5)
  ```
- **Lower concurrency** if you’re using threads/processes: keep the pool small, around **2–3 workers**.
- **Cache results** to disk so reruns don’t call the API again for the same docs.
- **Batch inputs** when possible instead of looping one document at a time.
- **Use a cheaper/free provider** with higher limits, like `gpt-4o-mini` or Groq’s free tier.

If the error is `insufficient_quota`, that’s not a rate limit problem — it means you need to **add billing credits**.","Free-tier and low-spend OpenAI accounts have per-minute and per-day request limits that are easy to blow through when a notebook loops over many documents. Reduce the number of API calls before you worry about handling the error after the fact.

- **Retry with backoff.** The `openai` Python client retries automatically with exponential backoff; raise the limit so transient 429s resolve themselves instead of crashing the run:

  ```python
  from openai import OpenAI

  client = OpenAI(max_retries=5)
  ```

- **Lower concurrency.** In a thread/process pool, keep the pool small (2-3 workers) so you stay under the per-minute cap. A larger pool finishes one batch fast and then fails on the next.
- **Cache results.** Write embeddings and LLM responses to disk (JSONL, pickle, or a vector DB) and reload on re-run. Re-executing a notebook should not re-call the API for inputs you already processed.
- **Batch where possible.** Group independent inputs into a single request (e.g. embed a list of texts in one call) instead of looping one-by-one.
- **Use a cheaper/free provider.** `gpt-4o-mini` is cheap enough for the whole course; Groq's free tier (`llama-3.3-70b-versatile`) has generous per-minute limits via the OpenAI-compatible endpoint.

If you already see `insufficient_quota`, that is a billing issue, not a rate limit — see [OpenAI: Error: RateLimitError: Error code: 429](openai-error-ratelimiterror-error-code-429).",8e21752415
Is there a good way to make the OpenAI client retry instead of failing right away on transient 429s?,"Yes — the `openai` Python client already retries transient 429s with exponential backoff. You can increase the retry limit like this:

```python
from openai import OpenAI

client = OpenAI(max_retries=5)
```

That way, short-lived rate limits are more likely to clear up instead of crashing immediately.","Free-tier and low-spend OpenAI accounts have per-minute and per-day request limits that are easy to blow through when a notebook loops over many documents. Reduce the number of API calls before you worry about handling the error after the fact.

- **Retry with backoff.** The `openai` Python client retries automatically with exponential backoff; raise the limit so transient 429s resolve themselves instead of crashing the run:

  ```python
  from openai import OpenAI

  client = OpenAI(max_retries=5)
  ```

- **Lower concurrency.** In a thread/process pool, keep the pool small (2-3 workers) so you stay under the per-minute cap. A larger pool finishes one batch fast and then fails on the next.
- **Cache results.** Write embeddings and LLM responses to disk (JSONL, pickle, or a vector DB) and reload on re-run. Re-executing a notebook should not re-call the API for inputs you already processed.
- **Batch where possible.** Group independent inputs into a single request (e.g. embed a list of texts in one call) instead of looping one-by-one.
- **Use a cheaper/free provider.** `gpt-4o-mini` is cheap enough for the whole course; Groq's free tier (`llama-3.3-70b-versatile`) has generous per-minute limits via the OpenAI-compatible endpoint.

If you already see `insufficient_quota`, that is a billing issue, not a rate limit — see [OpenAI: Error: RateLimitError: Error code: 429](openai-error-ratelimiterror-error-code-429).",8e21752415
What should I do in a thread pool so I don’t hit the per-minute request cap so fast?,"Lower concurrency — use a smaller thread pool, around 2–3 workers, instead of pushing the API hard.","Free-tier and low-spend OpenAI accounts have per-minute and per-day request limits that are easy to blow through when a notebook loops over many documents. Reduce the number of API calls before you worry about handling the error after the fact.

- **Retry with backoff.** The `openai` Python client retries automatically with exponential backoff; raise the limit so transient 429s resolve themselves instead of crashing the run:

  ```python
  from openai import OpenAI

  client = OpenAI(max_retries=5)
  ```

- **Lower concurrency.** In a thread/process pool, keep the pool small (2-3 workers) so you stay under the per-minute cap. A larger pool finishes one batch fast and then fails on the next.
- **Cache results.** Write embeddings and LLM responses to disk (JSONL, pickle, or a vector DB) and reload on re-run. Re-executing a notebook should not re-call the API for inputs you already processed.
- **Batch where possible.** Group independent inputs into a single request (e.g. embed a list of texts in one call) instead of looping one-by-one.
- **Use a cheaper/free provider.** `gpt-4o-mini` is cheap enough for the whole course; Groq's free tier (`llama-3.3-70b-versatile`) has generous per-minute limits via the OpenAI-compatible endpoint.

If you already see `insufficient_quota`, that is a billing issue, not a rate limit — see [OpenAI: Error: RateLimitError: Error code: 429](openai-error-ratelimiterror-error-code-429).",8e21752415
"Do I need to cache embeddings and LLM outputs, or can I just rerun the notebook each time?",I don't know,"Free-tier and low-spend OpenAI accounts have per-minute and per-day request limits that are easy to blow through when a notebook loops over many documents. Reduce the number of API calls before you worry about handling the error after the fact.

- **Retry with backoff.** The `openai` Python client retries automatically with exponential backoff; raise the limit so transient 429s resolve themselves instead of crashing the run:

  ```python
  from openai import OpenAI

  client = OpenAI(max_retries=5)
  ```

- **Lower concurrency.** In a thread/process pool, keep the pool small (2-3 workers) so you stay under the per-minute cap. A larger pool finishes one batch fast and then fails on the next.
- **Cache results.** Write embeddings and LLM responses to disk (JSONL, pickle, or a vector DB) and reload on re-run. Re-executing a notebook should not re-call the API for inputs you already processed.
- **Batch where possible.** Group independent inputs into a single request (e.g. embed a list of texts in one call) instead of looping one-by-one.
- **Use a cheaper/free provider.** `gpt-4o-mini` is cheap enough for the whole course; Groq's free tier (`llama-3.3-70b-versatile`) has generous per-minute limits via the OpenAI-compatible endpoint.

If you already see `insufficient_quota`, that is a billing issue, not a rate limit — see [OpenAI: Error: RateLimitError: Error code: 429](openai-error-ratelimiterror-error-code-429).",8e21752415
Would using a cheaper model like gpt-4o-mini or Groq help me avoid rate limits during the course?,"Yes — using a cheaper or free provider can help you avoid rate limits during the course.

From the course notes:
- **`gpt-4o-mini`** is cheap enough for the whole course and has **higher rate limits** if you spend about **$5** on OpenAI.
- **Groq’s free tier** with **`llama-3.3-70b-versatile`** has **generous per-minute limits** via the OpenAI-compatible endpoint.

So the short answer is: **yes, that’s a good way to reduce 429 errors**, especially compared with free-tier OpenAI or Gemini accounts.","Free-tier and low-spend OpenAI accounts have per-minute and per-day request limits that are easy to blow through when a notebook loops over many documents. Reduce the number of API calls before you worry about handling the error after the fact.

- **Retry with backoff.** The `openai` Python client retries automatically with exponential backoff; raise the limit so transient 429s resolve themselves instead of crashing the run:

  ```python
  from openai import OpenAI

  client = OpenAI(max_retries=5)
  ```

- **Lower concurrency.** In a thread/process pool, keep the pool small (2-3 workers) so you stay under the per-minute cap. A larger pool finishes one batch fast and then fails on the next.
- **Cache results.** Write embeddings and LLM responses to disk (JSONL, pickle, or a vector DB) and reload on re-run. Re-executing a notebook should not re-call the API for inputs you already processed.
- **Batch where possible.** Group independent inputs into a single request (e.g. embed a list of texts in one call) instead of looping one-by-one.
- **Use a cheaper/free provider.** `gpt-4o-mini` is cheap enough for the whole course; Groq's free tier (`llama-3.3-70b-versatile`) has generous per-minute limits via the OpenAI-compatible endpoint.

If you already see `insufficient_quota`, that is a billing issue, not a rate limit — see [OpenAI: Error: RateLimitError: Error code: 429](openai-error-ratelimiterror-error-code-429).",8e21752415
"In agentic RAG, what do you mean by a tool or function, and when would the model use one?","In agentic RAG, a **tool** or **function** is something the model can call when it needs external help, like:

- searching documents
- querying a database
- calling an API
- running a calculation

The key idea is that the **model decides when to use it**.  
So the model would use a tool/function when it needs information or actions beyond its own internal knowledge.

In **basic RAG**, retrieval usually happens as a fixed step before answering. In **agentic RAG**, the model can choose to call tools/functions during the process.","In the context of this course, tools and functions are closely related terms. Do not worry too much about the naming difference.

A tool/function is something the model can call when it needs external help, such as searching documents, querying a database, calling an API, or running a calculation.

The important idea is that in agentic RAG, the model can decide when to call a tool/function. In basic RAG, retrieval is usually a fixed step that happens before the model answers.",c296ea5a21
